0,0,0,0.0,71.367478125,-329.257830569,-10536.2505782
1,0,1,0.00166666666667,71.486425,-329.257868796,-10536.2518015
2,0,2,0.00333333333333,71.605371875,-329.257902714,-10536.2528868
3,0,3,0.005,71.724315625,-329.257931696,-10536.2538143
4,0,4,0.00666666666667,71.8432625,-329.257954366,-10536.2545397
5,0,5,0.00833333333333,71.962209375,-329.25797326,-10536.2551443
6,0,6,0.01,72.081153125,-329.257987403,-10536.2555969
7,1,0,0.0,71.367478125,-329.257830569,-10536.2505782
8,1,1,0.00166666666667,71.486425,-329.257869868,-10536.2518358
9,1,2,0.00333333333333,71.605371875,-329.257905782,-10536.252985
10,1,3,0.005,71.724315625,-329.257936907,-10536.253981
11,1,4,0.00666666666667,71.8432625,-329.25796417,-10536.2548534
12,1,5,0.00833333333333,71.962209375,-329.257987802,-10536.2556097
13,1,6,0.01,72.081153125,-329.25800682,-10536.2562183
14,2,0,0.0,71.367478125,-329.257830569,-10536.2505782
15,2,1,0.00166666666667,71.486425,-329.257868782,-10536.251801
16,2,2,0.00333333333333,71.605371875,-329.257902655,-10536.252885
17,2,3,0.005,71.724315625,-329.25793175,-10536.253816
18,2,4,0.00666666666667,71.8432625,-329.257954459,-10536.2545427
19,2,5,0.00833333333333,71.962209375,-329.257973239,-10536.2551436
20,2,6,0.01,72.081153125,-329.257987465,-10536.2555989
21,3,0,0.0,71.367478125,-329.257830569,-10536.2505782
22,3,1,0.00166666666667,71.367478125,-329.257826303,-10536.2504417
23,3,2,0.00333333333333,71.367478125,-329.257811442,-10536.2499662
24,3,3,0.005,71.367478125,-329.257786239,-10536.2491597
25,3,4,0.00666666666667,71.367478125,-329.257751709,-10536.2480547
26,3,5,0.00833333333333,71.367478125,-329.257705873,-10536.2465879
27,3,6,0.01,71.367478125,-329.257651242,-10536.2448397
28,4,0,0.0,71.367478125,-329.257830569,-10536.2505782
29,4,1,0.00166666666667,71.367478125,-329.257824036,-10536.2503692
30,4,2,0.00333333333333,71.367478125,-329.257802087,-10536.2496668
31,4,3,0.005,71.367478125,-329.257765266,-10536.2484885
32,4,4,0.00666666666667,71.367478125,-329.257714763,-10536.2468724
33,4,5,0.00833333333333,71.367478125,-329.257649616,-10536.2447877
34,4,6,0.01,71.367478125,-329.257569881,-10536.2422362
35,5,0,0.0,71.367478125,-329.257830569,-10536.2505782
36,5,1,0.00166666666667,71.367478125,-329.257826275,-10536.2504408
37,5,2,0.00333333333333,71.367478125,-329.257811496,-10536.2499679
38,5,3,0.005,71.367478125,-329.257786288,-10536.2491612
39,5,4,0.00666666666667,71.367478125,-329.257751701,-10536.2480544
40,5,5,0.00833333333333,71.367478125,-329.257705904,-10536.2465889
41,5,6,0.01,71.367478125,-329.257651267,-10536.2448405
42,6,0,0.0,71.367478125,-329.257830569,-10536.2505782
43,6,1,0.00166666666667,71.367478125,-329.257824342,-10536.2503789
44,6,2,0.00333333333333,71.367478125,-329.257816172,-10536.2501175
45,6,3,0.005,71.367478125,-329.257802158,-10536.2496691
46,6,4,0.00666666666667,71.367478125,-329.257782523,-10536.2490407
47,6,5,0.00833333333333,71.367478125,-329.25775728,-10536.248233
48,6,6,0.01,71.367478125,-329.257726978,-10536.2472633
49,7,0,0.0,71.367478125,-329.257830569,-10536.2505782
50,7,1,0.00166666666667,71.367478125,-329.257829341,-10536.2505389
51,7,2,0.00333333333333,71.367478125,-329.257824119,-10536.2503718
52,7,3,0.005,71.367478125,-329.257815763,-10536.2501044
53,7,4,0.00666666666667,71.367478125,-329.257804482,-10536.2497434
54,7,5,0.00833333333333,71.367478125,-329.257788377,-10536.2492281
55,7,6,0.01,71.367478125,-329.25776932,-10536.2486182
56,8,0,0.0,71.367478125,-329.257830569,-10536.2505782
57,8,1,0.00166666666667,71.367478125,-329.257829457,-10536.2505426
58,8,2,0.00333333333333,71.367478125,-329.257821127,-10536.2502761
59,8,3,0.005,71.367478125,-329.257807719,-10536.249847
60,8,4,0.00666666666667,71.367478125,-329.257789526,-10536.2492648
61,8,5,0.00833333333333,71.367478125,-329.257764931,-10536.2484778
62,8,6,0.01,71.367478125,-329.257736035,-10536.2475531
