1.100643249999999966e+02,-3.951192633706737212e+01
1.100843160000000012e+02,-3.951192740652945901e+01
1.101043069999999915e+02,-3.951192846179900897e+01
1.101242979999999960e+02,-3.951192950287709493e+01
1.101442890000000006e+02,-3.951193052976479692e+01
1.101642799999999909e+02,-3.951193154246318784e+01
1.101842709999999954e+02,-3.951193254097334773e+01
1.102042619999999999e+02,-3.951193352529634950e+01
1.102242529999999903e+02,-3.951193449543327318e+01
1.102442439999999948e+02,-3.951193545138519170e+01
1.102642349999999993e+02,-3.951193639315317796e+01
1.102842259999999897e+02,-3.951193732073830489e+01
1.103042169999999942e+02,-3.951193823414165252e+01
1.103242079999999987e+02,-3.951193913336428665e+01
1.103441990000000033e+02,-3.951194001840728731e+01
1.103641899999999936e+02,-3.951194088927172032e+01
1.103841809999999981e+02,-3.951194174595866571e+01
1.104041720000000026e+02,-3.951194258846918217e+01
1.104241629999999930e+02,-3.951194341680435684e+01
1.104441539999999975e+02,-3.951194423096524844e+01
1.104641450000000020e+02,-3.951194503095293697e+01
1.104841359999999924e+02,-3.951194581676848117e+01
1.105041269999999969e+02,-3.951194658841295393e+01
1.105241180000000014e+02,-3.951194734588742818e+01
1.105441089999999917e+02,-3.951194808919297685e+01
1.105640999999999963e+02,-3.951194881833065153e+01
1.105840910000000008e+02,-3.951194953330153936e+01
1.106040819999999911e+02,-3.951195023410669194e+01
1.106240729999999957e+02,-3.951195092074718218e+01
1.106440640000000002e+02,-3.951195159322407591e+01
1.106640549999999905e+02,-3.951195225153844603e+01
1.106840459999999950e+02,-3.951195289569134417e+01
1.107040369999999996e+02,-3.951195352568384322e+01
1.107240279999999899e+02,-3.951195414151700902e+01
1.107440189999999944e+02,-3.951195474319190737e+01
1.107640099999999990e+02,-3.951195533070959698e+01
1.107840009999999893e+02,-3.951195590407113656e+01
1.108039919999999938e+02,-3.951195646327759903e+01
1.108239829999999984e+02,-3.951195700833004310e+01
1.108439740000000029e+02,-3.951195753922952747e+01
1.108639649999999932e+02,-3.951195805597711797e+01
1.108839559999999977e+02,-3.951195855857388040e+01
1.109039470000000023e+02,-3.951195904702085926e+01
1.109239379999999926e+02,-3.951195952131912748e+01
1.109439289999999971e+02,-3.951195998146974375e+01
1.109639200000000017e+02,-3.951196042747376680e+01
1.109839109999999920e+02,-3.951196085933225532e+01
1.110039019999999965e+02,-3.951196127704626093e+01
1.110238930000000011e+02,-3.951196168061685654e+01
1.110438839999999914e+02,-3.951196207004508665e+01
1.110638749999999959e+02,-3.951196244533200996e+01
1.110838660000000004e+02,-3.951196280647868520e+01
1.111038569999999908e+02,-3.951196315348617816e+01
1.111238479999999953e+02,-3.951196348635552624e+01
1.111438389999999998e+02,-3.951196380508780237e+01
1.111638299999999902e+02,-3.951196410968405104e+01
1.111838209999999947e+02,-3.951196440014533096e+01
1.112038119999999992e+02,-3.951196467647268662e+01
1.112238029999999895e+02,-3.951196493866719095e+01
1.112437939999999941e+02,-3.951196518672988134e+01
1.112637849999999986e+02,-3.951196542066181649e+01
1.112837759999999889e+02,-3.951196564046404802e+01
1.113037669999999935e+02,-3.951196584613763463e+01
1.113237579999999980e+02,-3.951196603768361371e+01
1.113437490000000025e+02,-3.951196621510304396e+01
1.113637399999999928e+02,-3.951196637839698411e+01
1.113837309999999974e+02,-3.951196652756647154e+01
1.114037220000000019e+02,-3.951196666261255785e+01
1.114237129999999922e+02,-3.951196678353630176e+01
1.114437039999999968e+02,-3.951196689033874065e+01
1.114636950000000013e+02,-3.951196698302093324e+01
1.114836859999999916e+02,-3.951196706158392402e+01
1.115036769999999962e+02,-3.951196712602875749e+01
1.115236680000000007e+02,-3.951196717635648525e+01
1.115436589999999910e+02,-3.951196721256815181e+01
1.115636499999999955e+02,-3.951196723466480876e+01
1.115836410000000001e+02,-3.951196724264749349e+01
1.116036319999999904e+02,-3.951196723651725762e+01
1.116236229999999949e+02,-3.951196721627514563e+01
1.116436139999999995e+02,-3.951196718192219492e+01
1.116636049999999898e+02,-3.951196713345946421e+01
1.116835959999999943e+02,-3.951196707088798377e+01
1.117035869999999989e+02,-3.951196699420880520e+01
1.117235779999999892e+02,-3.951196690342297302e+01
1.117435689999999937e+02,-3.951196679853151750e+01
1.117635599999999982e+02,-3.951196667953549735e+01
1.117835509999999886e+02,-3.951196654643594286e+01
1.118035419999999931e+02,-3.951196639923389853e+01
1.118235329999999976e+02,-3.951196623793040885e+01
1.118435240000000022e+02,-3.951196606252650412e+01
1.118635149999999925e+02,-3.951196587302323593e+01
1.118835059999999970e+02,-3.951196566942164168e+01
1.119034970000000015e+02,-3.951196545172275876e+01
1.119234879999999919e+02,-3.951196521992762456e+01
1.119434789999999964e+02,-3.951196497403727648e+01
1.119634700000000009e+02,-3.951196471405275901e+01
1.119834609999999913e+02,-3.951196443997510244e+01
1.120034519999999958e+02,-3.951196415180535126e+01
1.120234430000000003e+02,-3.951196384954452867e+01
1.120434339999999906e+02,-3.951196353319369337e+01
1.120634249999999952e+02,-3.951196320275386142e+01
